epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,110.279,1.36885,6.08262,0.64187,6.09817,0.00915,10.2456,0.89489,0.26016,0.36955,0.25156,0.77221,0.17886,0.18797,0.06591,1.30913,4.09902,0.47558,6.47447,0.01187,0,0.000472461,0.000472461,0.000472461
2,182.925,1.4014,3.58038,0.47144,3.84431,0.00908,4.43368,0.76729,0.49485,0.523,0.31545,0.68213,0.36871,0.35765,0.19934,1.40283,3.24527,0.28761,3.86004,0.01289,0,0.000939401,0.000939401,0.000939401
3,254.825,1.38717,3.01658,0.36161,2.48253,0.00901,3.41289,0.82739,0.47046,0.5361,0.33555,0.76282,0.39729,0.41283,0.20072,1.4284,3.03642,0.21733,2.59197,0.01251,0,0.00139691,0.00139691,0.00139691
4,326.429,1.34804,2.60236,0.30933,1.83917,0.00883,2.84002,0.81998,0.45637,0.56451,0.36155,0.86449,0.46552,0.53568,0.26486,1.35767,2.60785,0.15903,1.94187,0.01268,0,0.00138656,0.00138656,0.00138656
5,397.951,1.29107,2.21545,0.28892,1.41008,0.00832,2.16674,0.44857,0.6616,0.58541,0.35094,0.41058,0.53,0.45762,0.26325,1.32262,2.73431,0.18261,1.63197,0.01217,0,0.00137241,0.00137241,0.00137241
6,469.422,1.22918,2.01353,0.26518,1.1557,0.00793,1.84434,0.8331,0.61231,0.67378,0.38025,0.90441,0.46643,0.49584,0.29128,1.37011,2.58493,0.12957,1.33225,0.01273,0,0.00135826,0.00135826,0.00135826
7,540.611,1.20394,1.78486,0.25537,1.03567,0.00765,1.52345,0.68017,0.61468,0.6321,0.39593,0.65562,0.56695,0.56645,0.28734,1.31164,2.59779,0.1073,1.14193,0.01184,0,0.00134412,0.00134412,0.00134412
8,610.98,1.15062,1.66143,0.23833,0.943,0.00739,1.20269,0.6894,0.51807,0.54269,0.32434,0.53634,0.52162,0.45026,0.26465,1.44641,2.74465,0.12995,1.31931,0.01411,0,0.00132997,0.00132997,0.00132997
9,681.05,1.12035,1.49231,0.23037,0.84173,0.00712,0.89331,0.56695,0.66129,0.646,0.40732,0.95611,0.48716,0.54126,0.36214,1.2884,2.2462,0.1337,1.12399,0.01216,0,0.00131582,0.00131582,0.00131582
10,751.8,1.10037,1.36545,0.2118,0.7733,0.00702,0.69543,0.60324,0.63453,0.61578,0.37498,0.59575,0.62424,0.59774,0.3287,1.3853,2.23432,0.10983,1.15281,0.01281,0,0.00130168,0.00130168,0.00130168
11,823.274,1.08434,1.32409,0.20376,0.7555,0.00703,0.55126,0.86423,0.61398,0.66736,0.39958,0.92818,0.53112,0.63636,0.32365,1.41765,2.45891,0.09447,1.01177,0.01316,0,0.00128753,0.00128753,0.00128753
12,894.587,1.07284,1.29028,0.20001,0.72124,0.00688,0.42384,0.75167,0.63718,0.67062,0.40313,0.64606,0.58033,0.58473,0.32036,1.32531,2.52634,0.10061,1.14839,0.01166,0,0.00127338,0.00127338,0.00127338
13,965.807,1.04443,1.16344,0.18263,0.65374,0.00658,0.30388,0.73052,0.67402,0.68678,0.41237,0.59144,0.53217,0.53518,0.31738,1.29173,2.18695,0.09341,1.00048,0.01134,0,0.00125923,0.00125923,0.00125923
14,1036.63,1.06014,1.15346,0.17857,0.67335,0.00664,0.2277,0.72527,0.61014,0.61966,0.36081,0.56034,0.5554,0.49815,0.25883,1.48138,2.42659,0.1074,1.10488,0.01398,0,0.00124509,0.00124509,0.00124509
15,1107.19,1.06864,1.16485,0.1731,0.65797,0.00686,0.13959,0.82527,0.66589,0.70684,0.41173,0.74752,0.6525,0.65053,0.32671,1.22808,2.35658,0.09061,1.07917,0.01126,0,0.00123094,0.00123094,0.00123094
16,1178.16,0.98888,1.08702,0.15712,0.63574,0.00618,0.10625,0.6902,0.66026,0.63276,0.39893,0.65808,0.60201,0.55233,0.31106,1.311,2.138,0.06424,1.00875,0.01198,0,0.00121679,0.00121679,0.00121679
17,1248.88,0.98995,1.03333,0.15149,0.60062,0.00633,0.0813,0.87888,0.59287,0.66711,0.41507,0.87619,0.58239,0.63133,0.33491,1.39863,2.30512,0.073,1.01621,0.01298,0,0.00120265,0.00120265,0.00120265
